invoice_month,monthly_revenue,monthly_invoices,avg_revenue_per_invoice,invoice_month_str
2009-12-01,678029.5700000001,1502,451.41782290279633,2009-12
2010-01-01,533802.982,963,554.3125462097611,2010-01
2010-02-01,497937.576,1093,455.56960292772186,2010-02
2010-03-01,665973.671,1509,441.3344406891981,2010-03
2010-04-01,585149.932,1316,444.64280547112463,2010-04
2010-05-01,592734.13,1365,434.2374578754579,2010-05
2010-06-01,629540.45,1482,424.7911268556005,2010-06
2010-07-01,581487.96,1362,426.9368281938326,2010-07
2010-08-01,594561.17,1276,465.9570297805643,2010-08
2010-09-01,805544.811,1659,485.56046473779384,2010-09
2010-10-01,1011571.5,2108,479.87262808349146,2010-10
2010-11-01,1155978.392,2570,449.7970396887159,2010-11
2010-12-01,565199.56,1394,405.45162123385944,2010-12
2011-01-01,562682.91,983,572.4139471007121,2011-01
2011-02-01,442293.59,992,445.8604737903226,2011-02
2011-03-01,583143.85,1312,444.46939786585364,2011-03
2011-04-01,454440.881,1139,398.98233625987706,2011-04
2011-05-01,659242.49,1544,426.97052461139896,2011-05
2011-06-01,653264.92,1390,469.9747625899281,2011-06
2011-07-01,591603.791,1321,447.84541332323994,2011-07
2011-08-01,635514.38,1267,501.5898816101026,2011-08
2011-09-01,938752.631,1739,539.8232495687176,2011-09
2011-10-01,1002326.56,1903,526.7086495007883,2011-10
2011-11-01,1136534.0,2642,430.17940953822864,2011-11
2011-12-01,512228.08,776,660.0877319587629,2011-12 *
