stock_code,description,total_revenue,total_quantity,avg_unit_price
22423,regency cakestand 3 tier,277656.25,24124,12.460171790235082
85123A,white hanging heart t-light holder,247203.36000000002,91814,2.8687061224489794
23843,"paper craft , little birdie",168469.6,80995,2.08
85099B,jumbo bag red retrospot,167920.64,93436,1.960257589696412
84879,assorted colour bird ornament,124351.86,78234,1.675942684766214
47566,party bunting,103283.38,23460,4.772940327237729
23166,medium ceramic top storage jar,81416.73000000001,77916,1.2198461538461538
22086,paper chain kit 50's christmas,76598.18000000001,28380,2.9188002364066197
79321,chilli lights,69084.3,14843,5.14646420824295
22386,jumbo bag pink polkadot,67769.76,37338,1.9690780542986426
